n_proc,n_threads,batch_size,prompt_size,output_tokens,pp_throughput_tps,pp_avg_latency_sec,tg_throughput_tps,tg_avg_latency_sec,pp+tg_throughput_tps,concurrency,start,finish
8,10,1,512,256,182.85479720073332,22.400624999999998,48.474779751410495,0.16504052734375,94.20423183072677,8,1717527100.645272,1717527183.6411827
5,16,1,512,256,181.25234037445767,14.124,47.4697171674173,0.10533359375,93.09767983126045,5,1717527184.7102454,1717527239.625132
2,32,1,512,256,142.58934840200436,7.1815,42.365914421260385,0.047208984375,79.53603976801988,2,1717527239.757067,1717527270.6879447
2,40,1,512,256,175.09045619861774,5.8485,42.277580616640876,0.047306640625,85.2859522487507,2,1717527270.8025923,1717527300.315266
1,64,1,512,256,136.20643788241554,3.759,30.188679245283016,0.033125,62.750224691559765,1,1717527300.8407848,1717527323.981014
1,80,1,512,256,163.31738437001596,3.135,29.297322041657132,0.0341328125,64.6845784553188,1,1717527324.8568912,1717527347.6213057
8,10,2,512,256,179.9508536211946,45.523625,85.69954056291468,0.18669921875,131.48574180086672,16,1717527347.8879457,1717527457.8866858
5,16,2,512,256,177.92170418536648,28.776799999999998,74.27547953612617,0.13463828125,120.75851441869241,10,1717527457.996098,1717527535.1146905
2,32,2,512,256,140.1396866617984,14.614,65.48153249644307,0.0610859375,101.53022441088014,4,1717527536.0919654,1717527577.9969556
2,40,2,512,256,169.55336473146997,12.079,66.98724254266698,0.059712890625,112.01050098446728,4,1717527579.1279356,1717527618.0797358
1,64,2,512,256,132.7456572465647,7.714,48.89228418640184,0.04090625,84.46057406796437,2,1717527619.2054605,1717527648.3665698
1,80,2,512,256,156.04998476074365,6.562,48.48025755136824,0.04125390625,89.70390702563803,2,1717527649.220878,1717527677.2778192
8,10,4,512,256,172.88965148031357,94.7675,106.61396305623751,0.30015087890625003,142.22139918171771,32,1717527678.2322626,1717527866.496361
5,16,4,512,256,170.92068034080881,59.911199999999994,101.63083669868976,0.19679375,138.83114300692347,20,1717527867.423813,1717527991.7561886
2,32,4,512,256,134.26427082398888,30.506999999999998,83.13206719317296,0.096232421875,111.41737995067459,8,1717527992.557325,1717528059.3321848
2,40,4,512,256,163.2140908543118,25.0965,85.57879456533358,0.09352148437499999,123.71881355590907,8,1717528059.6257257,1717528120.6512136
1,64,4,512,256,125.99975390673065,16.254,59.946142137922955,0.0667265625,92.15262778977682,4,1717528121.697698,1717528165.9718134
1,80,4,512,256,147.51854786429448,13.883,61.65332048889156,0.06487890625,100.74773711137347,4,1717528166.7408736,1717528208.1740491
8,10,8,512,256,160.99149971046756,203.541,82.83887695764876,0.772611328125,121.69891205847254,64,1717528208.796392,1717528626.785548
5,16,8,512,256,159.13111656375762,128.7006,83.02907035029004,0.48176796875,121.44548592030931,40,1717528627.2240112,1717528893.5429575
2,32,8,512,256,124.08747955383566,66.018,73.20887951545978,0.218552734375,100.68664885858966,16,1717528894.5100634,1717529028.3568995
2,40,8,512,256,149.46769058880557,54.812,84.21853174292517,0.189982421875,118.15043796813553,16,1717529028.6295133,1717529144.1299675
1,64,8,512,256,114.19968215908774,35.867,57.72916901567257,0.138578125,86.11917076657838,8,1717529144.7533376,1717529227.1571546
1,80,8,512,256,131.92476165936614,31.048,61.66631537743519,0.12973046875,95.61306587404098,8,1717529227.832966,1717529303.023626
5,16,16,512,256,138.42830406842336,295.8944,68.01575528158791,1.17624140625,102.39641612543562,80,1717530221.388416,1717530833.8419018
2,32,16,512,256,106.87366825207623,153.3025,64.06256111049002,0.49951171875,87.39469501114837,32,1717530834.079741,1717531126.9867485
2,40,16,512,256,126.74346426766394,129.269,68.78912050087905,0.4652109375,98.64531278222651,32,1717531127.3613207,1717531387.8659868
1,64,16,512,256,95.56250291633614,85.724,48.33836858006042,0.331,72.08729320661739,16,1717531388.6104515,1717531570.152696
1,80,16,512,256,108.57665442881947,75.449,49.13332933485276,0.32564453125,77.37353130076694,16,1717531570.797967,1717531740.7624736
2,32,32,512,256,83.83844358355516,390.8515,42.14049615742015,1.5187304687499998,62.90715205377415,64,1717533573.0903413,1717534366.1269941
2,40,32,512,256,98.82940275009773,331.591,46.2045316003325,1.3852597656249999,70.96952116653841,64,1717534366.9060886,1717535071.0261817
1,64,32,512,256,73.14383674781358,223.997,33.18748987198185,0.96421875,52.196407673993335,32,1717535071.6450658,1717535553.726766
1,80,32,512,256,80.29286508897198,204.053,35.34935100800884,0.90525,56.393228957519206,32,1717535554.1451561,1717536001.0079222
