n_proc,n_threads,batch_size,prompt_size,output_tokens,pp_throughput_tps,pp_avg_latency_sec,tg_throughput_tps,tg_avg_latency_sec,pp+tg_throughput_tps,concurrency,start,finish
8,10,1,512,256,216.675585095112,18.906625000000002,29.09731056846089,0.27494091796875,68.29246604272726,8,1717541487.8656564,1717541595.4502857
5,16,1,512,256,229.78748967314888,11.1422,29.643578789657816,0.16867265625,70.02188183807439,5,1717541595.9804718,1717541664.509355
2,32,1,512,256,184.75623071142633,5.5425,24.948835455399653,0.0801640625,58.891189325971936,2,1717541665.0398893,1717541703.088707
2,40,1,512,256,218.11791273759104,4.695,23.428941608404454,0.08537109375,57.3583778333769,2,1717541704.0859644,1717541742.5262666
1,64,1,512,256,158.61214374225526,3.228,19.99062939247228,0.0500234375,47.89821629038294,1,1717541743.1246772,1717541770.2440512
1,80,1,512,256,195.04761904761904,2.625,19.37632455343627,0.051609375,48.494032960788026,1,1717541771.1689894,1717541797.9458604
8,10,2,512,256,219.9662143857883,37.245125,56.80896367832473,0.28164697265625,111.5154595202875,16,1717541798.1874588,1717541924.418795
5,16,2,512,256,217.79157922751978,23.509800000000002,53.64862242305175,0.18640312499999998,106.70964694112907,10,1717541925.3101635,1717542010.7250378
2,32,2,512,256,176.97892651602825,11.572,50.831471829238026,0.07869140625,96.84741488020177,4,1717542011.409986,1717542054.9310193
2,40,2,512,256,213.59856333747757,9.5885,44.72034817803588,0.08944921875,93.90762082352582,4,1717542055.4451401,1717542099.750607
1,64,2,512,256,154.4494720965309,6.63,36.07920513001198,0.05543359375,73.77167283031554,2,1717542100.5002372,1717542132.2169483
1,80,2,512,256,187.58014288331196,5.459,34.898779905936884,0.05730859375,76.30402384500745,2,1717542132.536295,1717542163.8239288
8,10,4,512,256,206.4165437475278,79.377375,54.3031895649212,0.589298828125,105.87992003860204,32,1717542164.5596838,1717542411.3464098
5,16,4,512,256,211.9289106209394,48.319,52.43076579430227,0.38145937500000004,104.61789946873724,20,1717542411.8865683,1717542572.1196334
2,32,4,512,256,169.06751077013544,24.228,49.691267129624194,0.16099804687500002,93.36960320958012,8,1717542573.050609,1717542650.7522593
2,40,4,512,256,201.34487405842725,20.3435,51.01826808050305,0.156806640625,101.40454537952434,8,1717542651.1289783,1717542723.5125165
1,64,4,512,256,143.93140768852345,14.229,44.22370978190455,0.09044921875,82.1741921677723,4,1717542724.2009287,1717542772.7170966
1,80,4,512,256,173.00219631694543,11.838,44.8257748205218,0.089234375,88.57620667781558,4,1717542773.240452,1717542818.8719187
8,10,8,512,256,189.46081057821777,172.95624999999998,67.16430145710672,0.95295263671875,117.07763253172757,64,1717542819.2844193,1717543252.857252
5,16,8,512,256,193.4814826247883,105.8516,68.66344826695038,0.5825625000000001,119.73387275937466,40,1717543253.7719705,1717543523.0970957
2,32,8,512,256,154.50790529526626,53.019999999999996,67.16130734222185,0.238232421875,107.74316302641846,16,1717543524.06261,1717543650.3544514
2,40,8,512,256,180.95615023462824,45.2725,73.19268244427143,0.21860351562500002,120.81170363378952,16,1717543651.2695472,1717543764.6102746
1,64,8,512,256,129.3092562192196,31.676,57.26268698448204,0.13970703125,91.10185198914607,8,1717543765.3610907,1717543843.9264157
1,80,8,512,256,151.894978862271,26.966,57.27229508655164,0.13968359375,97.95137504982064,8,1717543844.4440367,1717543918.2490504
8,10,16,512,256,166.70735529504898,393.12975,66.60311324371713,1.92183935546875,110.45529776210716,128,1717543918.5394309,1717544822.293236
5,16,16,512,256,164.94868982696082,248.32440000000003,66.91795905050795,1.195496875,110.32481536215595,80,1717544830.0163155,1717545399.5246143
2,32,16,512,256,127.95192393731796,128.051,65.50117303575023,0.488541015625,96.83367744172486,32,1717545400.61625,1717545666.244701
2,40,16,512,256,149.78897368127673,109.3845,73.8320409638364,0.43344921875,110.71566940272285,32,1717545666.8735964,1717545900.3881154
1,64,16,512,256,107.60399837122854,76.131,52.40398147437373,0.3053203125,79.64068363438393,16,1717545901.1496098,1717546066.4440076
1,80,16,512,256,121.76342935283449,67.278,50.933237170320446,0.31413671875,83.1973567506449,16,1717546067.3007843,1717546226.1307902
2,32,32,512,256,94.94118340271065,345.14,43.788870718368834,1.46155859375,68.33186665610103,64,1717548059.558826,1717548790.963214
2,40,32,512,256,110.83951511704723,295.6555,48.62331890320588,1.3162421874999999,77.3519788868378,64,1717548791.3657432,1717549438.453793
1,64,32,512,256,78.95028502864743,207.523,35.523331699977014,0.90081640625,56.09268439648325,32,1717549439.0596058,1717549888.488948
1,80,32,512,256,86.95836783219752,188.412,37.306907607111626,0.85775,60.23588466553594,32,1717549889.5490038,1717550308.8274198
