power_watts,timestamp
98.94,1717417321.8362334
98.38,1717417322.837148
98.29,1717417323.838135
98.28,1717417324.839125
98.27,1717417325.840133
98.93,1717417326.8411393
98.12,1717417327.842129
98.19,1717417328.843129
98.75,1717417329.8441277
99.32,1717417330.8451304
98.4,1717417331.84613
98.33,1717417332.8471262
99.07,1717417333.8481324
99.05,1717417334.8491442
98.25,1717417335.8501315
98.58,1717417336.8511403
98.0,1717417337.852147
98.26,1717417338.8531559
97.99,1717417339.854147
99.56,1717417340.8562381
99.66,1717417341.856268
101.66,1717417342.8582468
99.39,1717417343.858219
98.28,1717417344.8592021
98.82,1717417345.8591924
99.14,1717417346.8623343
98.78,1717417347.8622465
97.78,1717417348.8632293
98.31,1717417349.8642175
98.17,1717417350.8651872
98.46,1717417351.8661835
98.78,1717417352.8672242
99.06,1717417353.8683167
104.03,1717417354.870315
110.56,1717417355.8713639
109.72,1717417356.871347
109.99,1717417357.8722773
111.96,1717417358.8743908
125.12,1717417359.875459
126.07,1717417360.8763933
125.54,1717417361.8774993
126.68,1717417362.878419
127.03,1717417363.8795054
126.05,1717417364.8805573
117.26,1717417365.8813152
102.53,1717417366.8812966
99.37,1717417367.882263
98.76,1717417368.8832345
98.28,1717417369.884253
99.5,1717417370.885251
99.01,1717417371.8862484
98.81,1717417372.887239
98.43,1717417373.8882616
98.41,1717417374.8892236
98.19,1717417375.8902528
98.0,1717417376.8913019
98.4,1717417377.8922873
107.93,1717417378.8945322
105.97,1717417379.8954446
128.03,1717417380.8977683
119.8,1717417381.8975463
118.68,1717417382.8985844
119.02,1717417383.899624
117.63,1717417384.900666
117.35,1717417385.9015083
117.86,1717417386.9026148
107.63,1717417387.9033976
100.55,1717417388.90335
98.93,1717417389.9044337
99.68,1717417390.9053361
98.33,1717417391.9063363
99.11,1717417392.9073126
98.18,1717417393.908333
98.18,1717417394.9093077
98.65,1717417395.9104357
98.63,1717417396.9113162
98.63,1717417397.9123316
98.28,1717417398.9133441
98.97,1717417399.9144888
102.19,1717417400.970518
107.2,1717417401.9174585
116.06,1717417402.9185307
115.16,1717417403.968848
114.05,1717417404.9206767
112.93,1717417405.9215188
111.99,1717417406.922512
112.55,1717417407.9237158
109.11,1717417408.9245741
100.92,1717417409.9243937
99.42,1717417410.925391
98.77,1717417411.9264648
98.55,1717417412.927362
98.55,1717417413.9284704
98.28,1717417414.9293664
98.23,1717417415.9304793
98.92,1717417416.9314919
98.8,1717417417.9324007
98.33,1717417418.9333286
98.79,1717417419.9343555
98.66,1717417420.9354186
104.56,1717417421.9375231
105.37,1717417422.9385674
118.44,1717417423.9395819
111.44,1717417424.968828
110.5,1717417425.9425406
108.96,1717417426.9435165
108.98,1717417427.9445238
108.46,1717417428.9455335
108.65,1717417429.946518
101.46,1717417430.9464455
98.78,1717417431.9474394
99.18,1717417432.9485626
98.8,1717417433.9493968
99.02,1717417434.9504085
98.6,1717417435.9515228
99.34,1717417436.952439
98.41,1717417437.9534304
98.84,1717417438.954423
98.26,1717417439.9554243
98.73,1717417440.9564292
98.87,1717417441.957415
104.25,1717417442.9595504
102.36,1717417443.9605837
121.95,1717417444.9617767
105.94,1717417445.9626143
106.65,1717417446.9726627
104.27,1717417447.96858
104.09,1717417448.9695814
103.75,1717417449.970566
103.34,1717417450.9715674
99.86,1717417451.9715264
98.88,1717417452.972466
98.65,1717417453.9735072
98.26,1717417454.9744635
98.21,1717417455.9754665
98.31,1717417456.9764676
99.2,1717417457.9774847
98.62,1717417458.9784837
98.75,1717417459.9794626
98.62,1717417460.9804773
98.8,1717417461.9804964
99.32,1717417462.9825563
106.28,1717417463.9845939
100.85,1717417464.9856827
108.84,1717417465.986773
101.67,1717417466.9866846
103.59,1717417467.9886763
101.52,1717417468.9895914
100.73,1717417469.9906733
101.37,1717417470.9916165
100.86,1717417471.9916196
99.15,1717417472.9925356
98.54,1717417473.9935443
99.8,1717417474.9945943
98.71,1717417475.9954987
98.64,1717417476.9965196
98.21,1717417477.9975307
98.19,1717417478.9985511
98.46,1717417479.9995446
99.27,1717417481.0005448
99.15,1717417482.001509
98.17,1717417483.0025442
98.43,1717417484.0035396
99.94,1717417485.0045795
98.64,1717417486.0055263
98.66,1717417487.0065742
98.11,1717417488.0075603
97.72,1717417489.0085762
98.26,1717417490.0095851
98.51,1717417491.0105958
99.2,1717417492.0115476
98.06,1717417493.0125883
97.87,1717417494.0135758
98.56,1717417495.0145779
98.38,1717417496.0155401
98.79,1717417497.016629
98.95,1717417498.0175793
98.0,1717417499.0186229
98.08,1717417500.0195909
98.22,1717417501.020613
98.52,1717417502.021575
98.4,1717417503.0225968
98.23,1717417504.0236037
98.17,1717417505.0246072
98.22,1717417506.0256205
98.31,1717417507.0265856
98.96,1717417508.0275867
99.04,1717417509.0286324
98.35,1717417510.028617
98.49,1717417511.030623
98.58,1717417512.03162
98.9,1717417513.0325694
98.58,1717417514.0326133
98.88,1717417515.034608
98.01,1717417516.0356357
98.27,1717417517.0355906
97.92,1717417518.0366318
98.45,1717417519.0376155
98.96,1717417520.0396779
98.77,1717417521.040674
98.31,1717417522.0417016
99.09,1717417523.042751
99.01,1717417524.043731
98.85,1717417525.044671
99.32,1717417526.0456786
105.24,1717417527.047737
108.2,1717417528.0487971
105.56,1717417529.0487971
101.37,1717417530.0497403
98.79,1717417531.0507047
98.78,1717417532.0516624
98.67,1717417533.0516822
98.36,1717417534.0526764
98.66,1717417535.0546763
98.12,1717417536.0556912
98.57,1717417537.0566869
98.07,1717417538.0576842
97.95,1717417539.0576675
98.39,1717417540.058683
97.96,1717417541.0597038
98.41,1717417542.060713
98.27,1717417543.0616827
97.83,1717417544.0627112
98.47,1717417545.0637164
99.09,1717417546.0646644
99.29,1717417547.0656793
98.3,1717417548.0667124
97.94,1717417549.067701
97.74,1717417550.0687175
98.41,1717417551.0697014
97.75,1717417552.0707183
97.99,1717417553.0717282
98.75,1717417554.0727334
98.32,1717417555.0737207
98.12,1717417556.0747404
98.37,1717417557.0757296
97.89,1717417558.0766966
99.77,1717417559.0777311
98.89,1717417560.0787666
98.86,1717417561.0807822
98.72,1717417562.08077
98.41,1717417563.0817158
98.51,1717417564.082754
98.31,1717417565.0837579
98.19,1717417566.0847385
98.63,1717417567.0857463
98.11,1717417568.0867517
100.29,1717417569.0877166
98.87,1717417570.0887945
97.87,1717417571.089776
98.1,1717417572.090761
98.37,1717417573.0917857
98.3,1717417574.092775
98.42,1717417575.0937736
98.25,1717417576.094754
98.05,1717417577.0958052
98.14,1717417578.0967455
98.05,1717417579.0977967
98.3,1717417580.0988107
98.41,1717417581.0997884
98.76,1717417582.1008098
98.15,1717417583.101797
98.75,1717417584.1027749
98.46,1717417585.1038046
98.08,1717417586.1048121
97.85,1717417587.1058059
98.39,1717417588.1067863
98.7,1717417589.1078048
98.2,1717417590.1088562
98.63,1717417591.1097991
98.69,1717417592.110831
98.19,1717417593.111827
98.0,1717417594.1128232
98.75,1717417595.1138387
97.95,1717417596.1148322
98.24,1717417597.115825
98.69,1717417598.11683
97.87,1717417599.1178312
98.44,1717417600.1188872
98.15,1717417601.1198394
98.53,1717417602.1208375
98.7,1717417603.1218274
98.48,1717417604.122825
98.42,1717417605.1238618
98.19,1717417606.1248257
98.61,1717417607.1258786
97.83,1717417608.1268516
97.89,1717417609.1278677
98.12,1717417610.128976
98.42,1717417611.1298752
99.16,1717417612.1308792
98.56,1717417613.1318774
97.93,1717417614.1328816
98.55,1717417615.1338742
98.99,1717417616.1348855
98.04,1717417617.1358936
98.41,1717417618.1368911
98.36,1717417619.1378953
98.75,1717417620.1388884
99.57,1717417621.139896
97.88,1717417622.1409054
98.46,1717417623.141913
98.05,1717417624.1429133
97.98,1717417625.1438925
98.53,1717417626.1449163
98.1,1717417627.1459546
97.81,1717417628.1469316
98.51,1717417629.1479292
97.81,1717417630.1489637
98.19,1717417631.149919
98.77,1717417632.1509607
106.07,1717417633.1530335
100.83,1717417634.1540577
98.88,1717417635.1540155
98.42,1717417636.1549928
100.25,1717417637.1571
99.49,1717417638.1570392
98.44,1717417639.1580338
98.36,1717417640.1590412
98.72,1717417641.1600218
98.33,1717417642.1610174
97.75,1717417643.1619656
98.61,1717417644.1629646
104.45,1717417645.166293
107.11,1717417646.1671958
116.75,1717417647.1686983
213.59,1717417648.2238498
224.88,1717417649.3083487
261.52,1717417650.2283275
269.73,1717417651.338373
266.89,1717417652.2937872
264.59,1717417653.2583904
265.81,1717417654.3083677
261.12,1717417655.3784542
264.93,1717417656.2683787
264.51,1717417657.4283726
261.93,1717417658.4483535
265.33,1717417659.3297033
268.32,1717417660.4283955
263.77,1717417661.4570546
264.81,1717417662.4784336
264.65,1717417663.3883364
262.75,1717417664.4283626
264.03,1717417665.4383805
266.0,1717417666.4791245
262.57,1717417667.5184162
267.35,1717417668.47842
268.7,1717417669.5084841
267.5,1717417670.5383923
269.41,1717417671.5184495
266.62,1717417672.3759482
267.08,1717417673.4083962
267.01,1717417674.488404
264.69,1717417675.438387
267.4,1717417676.5684664
269.51,1717417677.5083938
270.08,1717417678.4983912
262.0,1717417679.438389
269.65,1717417680.4343464
255.64,1717417681.4318967
242.34,1717417682.4346383
230.27,1717417683.4228683
228.23,1717417684.4374542
227.82,1717417685.4533372
226.8,1717417686.4347577
228.17,1717417687.4407248
242.77,1717417688.4290938
241.04,1717417689.4405162
235.29,1717417690.4649625
227.68,1717417691.4643111
227.9,1717417692.4563742
229.89,1717417693.4483798
226.19,1717417694.4682314
229.9,1717417695.4385939
228.51,1717417696.4594722
236.02,1717417697.4637172
230.44,1717417698.478605
234.11,1717417699.4616523
236.32,1717417700.4495535
229.83,1717417701.4613175
226.74,1717417702.468398
227.18,1717417703.4583197
228.05,1717417704.4686215
235.65,1717417705.4690292
231.02,1717417706.4736865
230.33,1717417707.457818
231.43,1717417708.4588022
230.56,1717417709.4744444
234.78,1717417710.4591131
237.71,1717417711.476376
238.24,1717417712.47147
238.24,1717417713.4753647
240.62,1717417714.488421
243.46,1717417715.4901686
238.57,1717417716.4853992
231.91,1717417717.4976254
229.12,1717417718.5291214
234.85,1717417719.466069
233.65,1717417720.499639
230.18,1717417721.4710839
230.25,1717417722.4851332
229.82,1717417723.4763944
227.42,1717417724.4814312
226.07,1717417725.477862
228.92,1717417726.4887698
230.42,1717417727.4686337
236.06,1717417728.4683838
236.67,1717417729.4715185
238.14,1717417730.4728432
238.07,1717417731.4774032
234.73,1717417732.5033233
232.47,1717417733.49826
234.39,1717417734.5135329
239.82,1717417735.4906967
240.73,1717417736.500222
235.46,1717417737.5068831
228.88,1717417738.5186524
224.47,1717417739.5078893
226.61,1717417740.4994028
229.83,1717417741.4986968
231.64,1717417742.4995785
230.35,1717417743.5139048
231.29,1717417744.5182915
233.13,1717417745.5216472
232.27,1717417746.487351
236.22,1717417747.4923334
232.3,1717417748.5046854
227.58,1717417749.4943123
234.48,1717417750.5283885
232.01,1717417751.5227659
231.99,1717417752.5175142
238.63,1717417753.4967563
241.21,1717417754.4968827
236.69,1717417755.5007908
239.34,1717417756.5001192
238.81,1717417757.4999561
239.91,1717417758.499752
239.22,1717417759.5114183
250.59,1717417760.4986734
249.92,1717417761.5037708
253.92,1717417762.5038476
260.33,1717417763.4972024
249.85,1717417764.507595
248.13,1717417765.506105
248.46,1717417766.5107496
242.66,1717417767.5078382
251.25,1717417768.5092666
252.14,1717417769.510131
255.11,1717417770.5233834
244.77,1717417771.508779
243.47,1717417772.5169482
244.86,1717417773.5166485
240.45,1717417774.5190265
236.66,1717417775.5209816
237.39,1717417776.5218737
241.04,1717417777.5202732
241.55,1717417778.5220065
242.87,1717417779.5216935
