n_proc,n_threads,batch_size,prompt_size,output_tokens,pp_throughput_tps,pp_avg_latency_sec,tg_throughput_tps,tg_avg_latency_sec,pp+tg_throughput_tps,concurrency,start,finish
10,16,1,512,256,138.5673493729413,36.997899999999994,24.610233307344224,0.4064453125,52.73131745900964,10,1717429271.553286,1717429421.21518
5,32,1,512,256,167.96297956440065,15.2476,23.23693266116574,0.21522734375000002,53.37855683287229,5,1717429421.7272923,1717429495.869178
4,40,1,512,256,172.39009168230865,11.895749999999998,21.149784390267175,0.18915039062500003,50.70227268976217,4,1717429496.7597435,1717429559.4589076
2,80,1,512,256,190.53661115516786,5.406000000000001,21.035903615740732,0.095076171875,51.03498687576835,2,1717429559.852916,1717429591.9726973
1,160,1,512,256,137.5974200483741,3.721,12.625764450581968,0.079203125,32.00400050006251,1,1717429592.8809814,1717429618.9197323
10,16,2,512,256,153.24054704075215,66.9999,48.97172708243489,0.40847421875,87.02648188648031,20,1717429619.9074514,1717429799.1630168
5,32,2,512,256,163.04851921579439,31.417600000000004,43.890785147861315,0.22788671875,84.83750524711132,10,1717429800.0939069,1717429892.8619368
4,40,2,512,256,173.89473821943025,23.67425,43.73209413544739,0.1829541015625,85.69037656903765,8,1717429893.2014225,1717429967.172922
2,80,2,512,256,174.87115974138976,11.711500000000001,39.597279118904936,0.101021484375,81.35593220338981,4,1717429968.343888,1717430008.3037722
1,160,2,512,256,146.97861346347065,6.967,23.785190002787328,0.0840859375,53.907977397957396,2,1717430009.3835077,1717430039.9338486
10,16,4,512,256,141.42546225117837,145.19,61.925655935749035,0.646437109375,95.27028912920102,40,1717430040.3989208,1717430365.6125104
5,32,4,512,256,160.66750542316623,63.8614,72.62363371737028,0.27540546875,111.5914126920702,20,1717430366.72003,1717430506.7131233
4,40,4,512,256,163.1699594019051,50.28125,63.518765893950594,0.25193359375,104.33276446165212,16,1717430507.8821654,1717430627.9708562
2,80,4,512,256,166.60241775379353,24.5895,59.62352398622312,0.1341796875,104.03684638309402,8,1717430629.0645518,1717430690.3301532
1,160,4,512,256,135.7370095440085,15.088,37.952633334568766,0.10539453125,73.02289096484347,4,1717430691.0801547,1717430735.180908
10,16,8,512,256,134.0296156413375,305.6816,109.65310955183294,0.729648046875,123.39852058349183,80,1717430736.181632,1717431236.9061599
5,32,8,512,256,148.1664806518735,138.33440000000002,114.27274684989372,0.35008437499999995,132.6883206634416,40,1717431237.8341956,1717431471.6861272
4,40,8,512,256,148.97715322847236,110.21499999999999,111.9749187257283,0.28579296874999993,130.8779516237259,32,1717431472.0838735,1717431662.1019185
2,80,8,512,256,155.89030475867708,52.572,75.32413893651398,0.212419921875,113.47727314703656,16,1717431663.3018277,1717431773.7386217
1,160,8,512,256,124.89708797072724,32.795,50.079471818070665,0.15974609375,83.37630614737414,8,1717431774.3919795,1717431850.0918562
5,32,16,512,256,129.00267598060157,317.5294,129.968993465047,0.6155398437499999,128.7710164610606,80,1717432764.2422543,1717433243.6012106
4,40,16,512,256,134.76901298351623,243.145,118.86766343756372,0.5384140625,128.800643583945,64,1717433244.7942405,1717433628.5187201
2,80,16,512,256,130.95832927765701,125.10849999999999,85.38409247154186,0.37477734375000005,111.13070609780912,32,1717433629.2208638,1717433852.5436764
1,160,16,512,256,101.7285912974369,80.528,50.66234585461787,0.31581640625,76.14467984904911,16,1717433853.4139256,1717434016.7910426
2,80,32,512,256,104.84468802546644,312.5385,68.95806596159217,0.92825,88.84133204158654,64,1717436758.6918354,1717437314.091143
1,160,32,512,256,75.34848213094925,217.443,45.376242833799544,0.70521484375,61.75215715441557,32,1717437315.259711,1717437715.2316833
